filepath,ground_truth,system_verdict,final_score,score_Visual (Spatial),score_Audio (Mel+CNN),score_Audio Forensics (ECAPA),score_Cross-Modal (Lip-Sync),score_Facial Biometric (Quality)
zh_57_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.968654,0.939755,0.997451,0.954958,0.948600,0.992008
es_121_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.954513,0.848770,0.990988,0.945006,0.936681,0.981726
es_122_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.891975,0.685370,0.952554,0.929696,0.720799,0.913246
es_45_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.948346,0.878879,0.944225,0.941334,0.971603,0.961228
ja_33_to_en_Vall_label_fake.npz,Fake,Deepfake,0.535118,0.907868,0.240102,0.074530,0.982259,0.988444
ru_97_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.980165,0.945380,0.994612,0.975183,0.989489,0.986813
ru_18_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.880086,0.346670,0.984946,0.942150,0.816741,0.879609
ru_125_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.958395,0.827974,0.993538,0.951641,0.972674,0.976609
zh_54_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.969689,0.916071,0.980053,0.956498,0.968321,0.993220
fr_67_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.941585,0.878868,0.411639,0.974770,0.960688,0.978127
ar_69_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.948532,0.739334,0.954132,0.936207,0.972379,0.986651
en_72_to_es_Bark_label_fake.npz,Fake,Deepfake,0.936644,0.912360,0.809048,0.984148,0.805228,0.934811
ja_23_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.959758,0.762272,0.973355,0.962109,0.935274,0.990000
zh_33_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.968199,0.931815,0.987478,0.947513,0.982327,0.993201
ru_57_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.952491,0.916164,0.602975,0.960238,0.969304,0.992846
ja_17_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.959905,0.937773,0.957773,0.937106,0.967140,0.990617
en_107_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.955008,0.854546,0.958671,0.945323,0.953873,0.981612
zh_46_to_es_Bark_label_fake.npz,Fake,Deepfake,0.965530,0.889259,0.967859,0.956365,0.967733,0.987247
es_52_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.968187,0.930899,0.995262,0.958677,0.951025,0.986776
zh_6_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.972080,0.934027,0.978121,0.969646,0.930749,0.991591
es_53_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.964585,0.901354,0.984962,0.972030,0.967263,0.960369
zh_68_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.966467,0.946827,0.619209,0.983086,0.982932,0.992810
en_102_to_ja_Vall_label_fake.npz,Fake,Deepfake,0.785134,0.765493,0.662107,0.623373,0.880624,0.986212
es_86_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.946601,0.793515,0.987939,0.942414,0.963488,0.963122
zh_34_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.952155,0.933538,0.966278,0.920786,0.952820,0.992939
es_87_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.966742,0.927896,0.991202,0.946909,0.989025,0.987931
ja_60_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.965054,0.941213,0.967255,0.946150,0.977673,0.988844
zh_42_to_en_Bark_label_fake.npz,Fake,Deepfake,0.976724,0.935354,0.986246,0.967690,0.986641,0.990054
en_50_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.972235,0.933712,0.998285,0.955149,0.989652,0.991007
ja_11_label_real.npz,Real,Real,0.106704,0.113244,0.201756,0.188322,0.033901,0.008054
zh_98_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.937771,0.691393,0.789547,0.986323,0.980357,0.919550
en_58_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.952665,0.650379,0.978980,0.961874,0.929959,0.986737
ar_67_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.946214,0.864000,0.970624,0.919372,0.985070,0.977882
zh_67_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.961732,0.931174,0.969418,0.948468,0.929862,0.991158
ru_70_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.958099,0.761915,0.993410,0.957153,0.943343,0.986514
zh_62_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.961233,0.863027,0.801603,0.966436,0.977392,0.986760
ru_122_label_real.npz,Real,Real,0.069382,0.087324,0.013691,0.098618,0.022866,0.050476
en_32_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.967770,0.842207,0.990068,0.966778,0.946882,0.989766
en_43_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.944819,0.909766,0.873626,0.910711,0.992222,0.990305
zh_28_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.963876,0.916421,0.978658,0.955998,0.919491,0.991354
en_16_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.610751,0.918394,0.784606,0.179213,0.975783,0.992504
es_84_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.963800,0.881614,0.950858,0.963076,0.962745,0.978623
es_8_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.924906,0.846608,0.915987,0.941368,0.961842,0.905648
fr_37_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.940005,0.552648,0.982091,0.966618,0.904644,0.965215
en_36_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.964828,0.779943,0.952517,0.971070,0.964062,0.985192
ru_77_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.764818,0.310337,0.955816,0.964521,0.732533,0.554922
es_66_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.968013,0.917308,0.997363,0.948824,0.986309,0.990508
ru_104_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.953519,0.940587,0.995304,0.920042,0.967234,0.988521
en_25_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.934689,0.882417,0.862073,0.930939,0.843876,0.983299
en_46_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.963425,0.885994,0.653943,0.985582,0.982832,0.984665
en_127_to_zh_Vall_label_fake.npz,Fake,Deepfake,0.950662,0.898038,0.808367,0.935715,0.983236,0.988418
ru_11_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.897877,0.452949,0.992000,0.957039,0.874772,0.878528
ru_20_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.956076,0.918625,0.972327,0.925473,0.981016,0.991327
fr_112_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.880599,0.595678,0.961927,0.970131,0.982037,0.765589
es_60_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.911118,0.755692,0.985545,0.966774,0.968328,0.834786
zh_109_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.973305,0.876099,0.989040,0.970135,0.976859,0.988005
ru_96_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.963598,0.942961,0.959527,0.941830,0.986007,0.988713
ja_35_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.908554,0.586033,0.936152,0.930263,0.844609,0.941044
en_3_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.924623,0.597305,0.964094,0.943770,0.820777,0.970797
fr_42_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.949975,0.868547,0.977506,0.948666,0.904220,0.972431
fr_107_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.951898,0.896005,0.997722,0.920090,0.972511,0.988344
ru_46_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.941644,0.764269,0.981670,0.936918,0.972636,0.958488
en_3_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.929617,0.550501,0.776671,0.975419,0.865844,0.964959
en_18_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.956663,0.903310,0.990225,0.928324,0.974726,0.990764
en_62_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.937045,0.640810,0.884272,0.946585,0.914328,0.981128
en_93_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.954870,0.758857,0.981548,0.948602,0.946170,0.989605
fr_5_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.956927,0.753123,0.992256,0.954457,0.981388,0.977181
zh_93_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.943373,0.923968,0.543652,0.950062,0.962698,0.989127
en_10_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.947271,0.919554,0.960817,0.911573,0.964348,0.990313
zh_82_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.966878,0.943124,0.965868,0.951206,0.964508,0.991244
en_45_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.948406,0.890520,0.814167,0.933898,0.978742,0.985837
fr_120_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.935258,0.825842,0.971960,0.902686,0.950430,0.983189
fr_64_to_en_Bark_label_fake.npz,Fake,Deepfake,0.939673,0.806173,0.968157,0.943773,0.808935,0.986758
ja_5_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.972464,0.913571,0.984868,0.959968,0.981546,0.992576
ru_52_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.979764,0.933909,0.968908,0.977139,0.976315,0.992225
en_47_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.808739,0.543778,0.978100,0.953187,0.880526,0.616168
ru_50_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.943035,0.861252,0.911954,0.927574,0.957202,0.974989
zh_33_label_real.npz,Real,Real,0.040921,0.066883,0.008260,0.068162,0.029381,0.010150
zh_92_to_en_Vall_label_fake.npz,Fake,Deepfake,0.923099,0.884457,0.180846,0.945917,0.975658,0.990301
es_69_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.971575,0.916853,0.939284,0.963714,0.983401,0.990735
ar_24_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.963432,0.776824,0.956581,0.958918,0.975834,0.993328
en_122_label_real.npz,Real,Real,0.314267,0.287882,0.006059,0.521696,0.089323,0.159641
en_16_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.952114,0.905010,0.987089,0.917571,0.972333,0.992482
zh_27_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.967817,0.888436,0.984863,0.961435,0.966464,0.985314
ja_51_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.958070,0.865833,0.989735,0.939512,0.975071,0.985727
es_55_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.966048,0.882747,0.989046,0.959040,0.958646,0.985787
ar_68_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.962626,0.883351,0.935019,0.958949,0.958213,0.983884
zh_97_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.883498,0.727906,0.967439,0.897193,0.794644,0.901512
en_37_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.941519,0.932258,0.882357,0.902407,0.982181,0.989963
fr_102_label_real.npz,Real,Real,0.066104,0.070713,0.297641,0.095538,0.020724,0.007491
zh_81_to_ja_Vall_label_fake.npz,Fake,Deepfake,0.698250,0.875127,0.250596,0.438965,0.982699,0.989028
zh_36_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.961472,0.953039,0.782490,0.953289,0.982705,0.992699
en_120_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.943032,0.937629,0.484131,0.952574,0.967504,0.990100
zh_78_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.976176,0.908599,0.924601,0.978004,0.982354,0.989081
es_80_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.972186,0.879129,0.864910,0.977750,0.986182,0.989652
en_53_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.948852,0.776910,0.731800,0.974499,0.931431,0.976426
es_66_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.950220,0.873366,0.974282,0.951679,0.970073,0.950213
fr_40_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.914835,0.457962,0.935221,0.920033,0.850478,0.988894
es_115_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.960983,0.864626,0.994170,0.950704,0.981590,0.977336
ja_41_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.915888,0.802208,0.996379,0.897544,0.985419,0.924349
zh_123_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.951203,0.902158,0.984496,0.936551,0.976161,0.965160
zh_12_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.971809,0.938559,0.981329,0.955835,0.981241,0.993041
zh_56_label_real.npz,Real,Real,0.045086,0.070529,0.002156,0.084362,0.023136,0.003357
ru_117_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.949382,0.719925,0.995104,0.961157,0.976550,0.952728
zh_92_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.966020,0.908127,0.993900,0.948465,0.973434,0.990760
fr_20_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.911806,0.759032,0.783613,0.872194,0.954542,0.990664
es_46_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.957009,0.847178,0.982488,0.938497,0.975086,0.987696
ru_114_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.971245,0.927501,0.982707,0.962804,0.969560,0.987191
en_33_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.976553,0.927328,0.987972,0.971990,0.960396,0.992438
zh_122_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.923691,0.931041,0.362871,0.926926,0.977331,0.983273
en_93_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.561088,0.820313,0.957625,0.079194,0.902655,0.989396
fr_103_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.960669,0.886073,0.996069,0.943328,0.963271,0.987820
es_24_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.934834,0.853157,0.991972,0.960888,0.930867,0.905975
en_115_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.701004,0.802470,0.971814,0.532932,0.970160,0.787013
es_67_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.973462,0.937231,0.992245,0.958319,0.985673,0.991934
zh_32_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.963218,0.934327,0.986427,0.946742,0.959126,0.986381
en_95_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.908929,0.902625,0.968112,0.852286,0.850498,0.990896
ru_109_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.967068,0.915474,0.981196,0.952172,0.985972,0.986170
zh_40_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.921013,0.777363,0.273864,0.975091,0.933433,0.960906
ar_71_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.936799,0.845351,0.986622,0.964893,0.944050,0.904552
en_12_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.962440,0.921343,0.984953,0.936175,0.990158,0.990946
es_37_label_real.npz,Real,Real,0.067559,0.170300,0.087269,0.059948,0.175556,0.028996
ru_13_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.946194,0.749774,0.725332,0.957943,0.959108,0.987011
es_63_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.905995,0.766732,0.974234,0.947858,0.957891,0.847489
ru_63_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.980126,0.929582,0.971784,0.976402,0.983283,0.992424
en_124_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.877464,0.575687,0.985560,0.968749,0.666466,0.848052
en_101_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.954627,0.908037,0.994051,0.924745,0.965979,0.990827
fr_85_to_en_Bark_label_fake.npz,Fake,Deepfake,0.861975,0.736964,0.995234,0.959355,0.574345,0.817774
ar_33_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.940728,0.882141,0.834644,0.913818,0.984445,0.986360
zh_30_to_en_Vall_label_fake.npz,Fake,Deepfake,0.894651,0.947006,0.081193,0.889738,0.978175,0.985833
fr_47_label_real.npz,Real,Real,0.073291,0.142965,0.102776,0.029873,0.031955,0.126758
es_93_label_real.npz,Real,Real,0.033977,0.084656,0.062470,0.046256,0.025607,0.009270
es_70_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.914905,0.840915,0.989569,0.907629,0.965968,0.909574
ru_61_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.933784,0.750795,0.859028,0.950885,0.949705,0.944069
zh_38_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.945709,0.951331,0.806064,0.925251,0.967221,0.985012
fr_70_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.959470,0.781557,0.987050,0.960515,0.965665,0.977833
fr_13_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.962308,0.878168,0.834076,0.973544,0.920947,0.990019
ar_60_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.934921,0.899950,0.966822,0.893236,0.926326,0.991411
es_88_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.928216,0.888082,0.680568,0.906940,0.983476,0.980894
ar_30_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.943010,0.699386,0.947014,0.926870,0.979497,0.987567
zh_2_to_es_Bark_label_fake.npz,Fake,Deepfake,0.970917,0.940018,0.977272,0.963628,0.963796,0.985828
ja_9_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.586318,0.410044,0.979687,0.937793,0.169899,0.222385
ru_88_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.944828,0.866779,0.975765,0.907835,0.981319,0.988695
ja_23_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.955760,0.698769,0.959549,0.972279,0.900908,0.986365
es_11_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.957242,0.839597,0.982430,0.946161,0.970003,0.981050
ru_22_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.926240,0.832585,0.872969,0.890879,0.945104,0.987303
es_114_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.928592,0.914046,0.349816,0.938282,0.969207,0.989290
ar_34_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.963686,0.905026,0.991178,0.944087,0.985737,0.987036
fr_96_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.977802,0.919430,0.990613,0.969786,0.986905,0.992016
ru_110_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.916132,0.821135,0.901917,0.884383,0.864457,0.987319
es_80_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.933505,0.816375,0.501953,0.944019,0.972336,0.987275
en_102_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.965987,0.910242,0.991640,0.953642,0.947154,0.991538
fr_102_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.946881,0.909897,0.837006,0.932744,0.943347,0.987047
ar_56_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.977104,0.929693,0.998677,0.966861,0.984478,0.991859
ru_127_label_real.npz,Real,Real,0.046171,0.064541,0.032676,0.084752,0.011449,0.005792
ru_120_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.917011,0.772556,0.680867,0.919927,0.961487,0.954927
en_77_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.962561,0.930437,0.994700,0.940938,0.977407,0.986117
es_15_to_en_Bark_label_fake.npz,Fake,Deepfake,0.969843,0.914478,0.958880,0.963208,0.959836,0.990707
zh_50_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.968026,0.939832,0.928322,0.953579,0.989128,0.990272
ru_19_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.710286,0.267611,0.591660,0.584501,0.764731,0.936640
zh_6_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.964738,0.926581,0.980319,0.968016,0.866114,0.991928
en_1_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.560316,0.405136,0.378970,0.351780,0.321916,0.944622
zh_39_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.965988,0.946321,0.996446,0.947735,0.974792,0.985399
es_81_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.962817,0.881401,0.953255,0.948593,0.978374,0.989658
zh_8_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.928490,0.908604,0.984644,0.890696,0.878626,0.986147
en_21_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.978605,0.908744,0.981558,0.976447,0.980004,0.990537
zh_94_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.954397,0.932054,0.853730,0.941330,0.941906,0.992338
es_14_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.947989,0.774577,0.986296,0.943051,0.950579,0.972898
es_47_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.970525,0.909688,0.966393,0.969086,0.940409,0.990262
en_49_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.944243,0.902208,0.973019,0.903322,0.977443,0.989265
en_45_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.966649,0.856756,0.986400,0.956804,0.986166,0.986609
ru_51_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.965772,0.916765,0.971130,0.949698,0.967942,0.992055
ru_62_to_en_Bark_label_fake.npz,Fake,Deepfake,0.964568,0.925608,0.975814,0.944041,0.974414,0.992105
ar_60_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.947460,0.801935,0.975153,0.924103,0.962738,0.989958
es_102_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.960495,0.885238,0.960110,0.943476,0.971994,0.989897
fr_20_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.959595,0.765059,0.985358,0.947152,0.984194,0.992676
en_92_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.934630,0.761721,0.974596,0.930879,0.813782,0.992972
fr_96_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.973400,0.896841,0.959771,0.967437,0.980842,0.991823
ru_68_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.957814,0.789157,0.965719,0.960526,0.968195,0.974325
fr_52_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.894725,0.733201,0.281156,0.953590,0.874704,0.935489
zh_1_to_es_Bark_label_fake.npz,Fake,Deepfake,0.965461,0.941508,0.991091,0.955681,0.932303,0.987269
es_105_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.880520,0.804457,0.674939,0.814125,0.947851,0.986883
zh_26_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.976680,0.929171,0.995492,0.973794,0.950313,0.992024
zh_15_to_en_Vall_label_fake.npz,Fake,Deepfake,0.647933,0.941880,0.067306,0.336570,0.982492,0.993624
es_109_label_real.npz,Real,Real,0.055401,0.128127,0.007385,0.041189,0.022438,0.079563
zh_81_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.970064,0.934048,0.985060,0.954098,0.987972,0.988477
en_62_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.949750,0.647069,0.993323,0.956631,0.947536,0.978550
zh_58_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.962366,0.771925,0.973383,0.968648,0.944276,0.985090
es_51_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.969258,0.912652,0.978006,0.965174,0.953612,0.985816
fr_7_to_en_Bark_label_fake.npz,Fake,Deepfake,0.955473,0.734863,0.982817,0.981815,0.976176,0.943299
zh_84_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.954405,0.718978,0.974416,0.959379,0.920088,0.988588
zh_97_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.833149,0.707624,0.887223,0.816243,0.618194,0.926508
ar_20_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.872225,0.599964,0.946479,0.810926,0.964007,0.953102
en_112_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.938556,0.859909,0.884266,0.995252,0.761622,0.935205
ru_111_to_es_Bark_label_fake.npz,Fake,Deepfake,0.963444,0.906247,0.992802,0.946139,0.977303,0.985712
en_3_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.860640,0.440426,0.986543,0.917724,0.596514,0.904754
zh_7_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.943546,0.940264,0.780100,0.927801,0.945508,0.987048
en_77_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.966221,0.916719,0.992604,0.958543,0.945611,0.985283
fr_116_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.924025,0.625972,0.986814,0.950790,0.946138,0.916904
zh_106_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.967443,0.883471,0.998758,0.952365,0.990598,0.987737
ru_48_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.966436,0.896826,0.952385,0.958538,0.962365,0.989704
ru_81_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.812176,0.856521,0.968069,0.621414,0.980332,0.980792
en_18_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.969426,0.915281,0.984002,0.959287,0.961495,0.990382
fr_11_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.934962,0.629624,0.990874,0.924409,0.919065,0.988705
es_82_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.940964,0.786513,0.960548,0.932396,0.979496,0.960238
ar_71_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.948092,0.877736,0.983441,0.950240,0.929863,0.955539
ru_32_to_en_Bark_label_fake.npz,Fake,Deepfake,0.933520,0.706290,0.982039,0.908470,0.963918,0.982573
en_32_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.949348,0.882543,0.982118,0.922545,0.947390,0.989230
ja_16_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.969945,0.913707,0.990307,0.956783,0.972228,0.991341
ru_40_to_es_Bark_label_fake.npz,Fake,Deepfake,0.871466,0.637464,0.983746,0.953614,0.732886,0.822829
es_26_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.909987,0.720999,0.987851,0.916047,0.953360,0.905678
zh_108_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.962723,0.919366,0.995380,0.942770,0.964507,0.989396
ja_39_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.965013,0.673608,0.984786,0.974271,0.974712,0.989142
zh_64_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.958024,0.721479,0.995468,0.965824,0.934285,0.983221
en_24_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.944270,0.881060,0.826603,0.944209,0.876056,0.989677
ja_22_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.950194,0.647677,0.993818,0.949016,0.956510,0.986889
ja_15_to_zh_Vall_label_fake.npz,Fake,Deepfake,0.556546,0.817108,0.507746,0.105724,0.965589,0.989052
es_49_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.970477,0.917700,0.978399,0.960622,0.972623,0.988942
zh_52_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.965602,0.920838,0.986087,0.951975,0.969486,0.985480
fr_69_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.971754,0.893227,0.990795,0.960301,0.986286,0.990825
en_35_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.935722,0.913854,0.697137,0.909876,0.985618,0.991903
ja_29_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.932158,0.857508,0.992866,0.875307,0.986754,0.991644
es_71_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.862849,0.724609,0.953633,0.913842,0.918901,0.788052
zh_122_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.948232,0.887185,0.990977,0.924927,0.924490,0.987593
en_54_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.899723,0.777308,0.140682,0.978255,0.964143,0.906270
